,word,sentiment,n,
382,feverish,negative,2,
383,flicker,negative,2,
384,fried,negative,2,
385,gained,positive,2,
386,gaining,positive,2,
387,glare,negative,2,
388,glow,positive,2,
389,grief,negative,2,
390,harmless,positive,2,
391,hell,negative,2,
392,helping,positive,2,
393,hero,positive,2,
394,hollow,negative,2,
395,horrible,negative,2,
396,hurting,negative,2,
397,idiots,negative,2,
398,infernal,negative,2,
399,interfere,negative,2,
400,jolt,negative,2,
401,kills,negative,2,
402,leads,positive,2,
403,leak,negative,2,
404,leaking,negative,2,
405,liar,negative,2,
406,lied,negative,2,
407,loss,negative,2,
408,louder,negative,2,
409,lying,negative,2,
410,master,positive,2,
411,meddle,negative,2,
412,mess,negative,2,
413,miserableness,negative,2,
414,mortification,negative,2,
415,muddy,negative,2,
416,neat,positive,2,
417,object,negative,2,
418,opposition,negative,2,
419,pardon,positive,2,
420,patient,positive,2,
421,peeled,negative,2,
422,pigs,negative,2,
423,pitiful,negative,2,
424,pleasant,positive,2,
425,pleasing,positive,2,
426,pleasure,positive,2,
427,prompt,positive,2,
428,properly,positive,2,
429,quarrels,negative,2,
430,quicker,positive,2,
431,raked,negative,2,
432,rattle,negative,2,
433,reform,positive,2,
434,renowned,positive,2,
435,respectable,positive,2,
436,ridiculous,negative,2,
437,rightly,positive,2,
438,rocky,negative,2,
439,ruined,negative,2,
440,rumbling,negative,2,
441,sass,negative,2,
442,scandalous,negative,2,
443,scary,negative,2,
444,scornful,negative,2,
445,scoundrel,negative,2,
446,scrambled,negative,2,
447,severe,negative,2,
448,sickly,negative,2,
449,silly,negative,2,
450,sinister,negative,2,
451,smash,negative,2,
452,smell,negative,2,
453,smooth,positive,2,
454,sociable,positive,2,
455,spoiled,negative,2,
456,sting,negative,2,
457,striking,positive,2,
458,suspicions,negative,2,
459,suspicious,negative,2,
460,sweaty,negative,2,
461,swelling,negative,2,
462,tedious,negative,2,
463,thicker,negative,2,
464,threaten,negative,2,
465,thrilling,positive,2,
466,timid,negative,2,
467,tops,positive,2,
468,toughest,positive,2,
469,trap,negative,2,
470,trick,negative,2,
471,tumble,negative,2,
472,tumbled,negative,2,
473,ugly,negative,2,
474,ungrateful,negative,2,
475,valuable,positive,2,
476,wasting,negative,2,
477,weak,negative,2,
478,weakening,negative,2,
479,wickedness,negative,2,
480,win,positive,2,
481,won,positive,2,
482,abuse,negative,1,
483,abused,negative,1,
484,admirable,positive,1,
485,affront,negative,1,
486,aggravate,negative,1,
487,aggravating,negative,1,
488,ambush,negative,1,
489,amputate,negative,1,
490,amusing,positive,1,
491,anxiety,negative,1,
492,approve,positive,1,
493,attraction,positive,1,
494,ax,negative,1,
495,backwoods,negative,1,
496,badly,negative,1,
497,bait,negative,1,
498,bashful,negative,1,
499,battered,negative,1,
500,beg,negative,1,
501,beware,negative,1,
502,biting,negative,1,
503,bleed,negative,1,
504,bleeding,negative,1,
505,blister,negative,1,
506,bloom,positive,1,
507,blossom,positive,1,
508,bogus,negative,1,
509,bored,negative,1,
510,bothersome,negative,1,
511,brazen,negative,1,
512,brotherly,positive,1,
513,buckle,negative,1,
514,butcher,negative,1,
515,buzzing,negative,1,
516,calamity,negative,1,
517,cancer,negative,1,
518,cannibal,negative,1,
519,charm,positive,1,
520,cheats,negative,1,
521,cheer,positive,1,
522,chilly,negative,1,
523,cleanest,positive,1,
524,clever,positive,1,
525,clogged,negative,1,
526,complain,negative,1,
527,complained,negative,1,
528,complaint,negative,1,
529,complicated,negative,1,
530,compliment,positive,1,
531,concerns,negative,1,
532,conflict,negative,1,
533,contrive,negative,1,
534,contrived,negative,1,
535,cramp,negative,1,
536,crash,negative,1,
537,creep,negative,1,
538,creepy,negative,1,
539,crime,negative,1,
540,crooked,negative,1,
541,cruel,negative,1,
542,crush,negative,1,
543,curse,negative,1,
544,dangerous,negative,1,
545,darken,negative,1,
546,darkened,negative,1,
547,darling,positive,1,
548,dazzling,positive,1,
549,deadly,negative,1,
550,debts,negative,1,
551,delay,negative,1,
552,delirium,negative,1,
553,denied,negative,1,
554,dent,negative,1,
555,deserving,positive,1,
556,desperate,negative,1,
557,desperately,negative,1,
558,despise,negative,1,
559,devilment,negative,1,
560,dick,negative,1,
561,dilemma,negative,1,
562,ding,negative,1,
563,disappoint,negative,1,
564,discourage,negative,1,
565,discrimination,negative,1,
566,disgrace,negative,1,
567,disgraced,negative,1,
568,disgusting,negative,1,
569,dissatisfied,negative,1,
570,distress,negative,1,
571,dote,positive,1,
572,doubt,negative,1,
573,doubts,negative,1,
574,downhearted,negative,1,
575,droop,negative,1,
576,dust,negative,1,
577,ease,positive,1,
578,eased,positive,1,
579,easiest,positive,1,
580,educated,positive,1,
581,embattled,negative,1,
582,enemies,negative,1,
583,enemy,negative,1,
584,enjoy,positive,1,
585,enjoying,positive,1,
586,enjoyment,positive,1,
587,evade,negative,1,
588,everlasting,positive,1,
589,excitement,positive,1,
590,excuse,negative,1,
591,failed,negative,1,
592,failure,negative,1,
593,faith,positive,1,
594,fallen,negative,1,
595,fancy,positive,1,
596,favor,positive,1,
597,fear,negative,1,
598,fidget,negative,1,
599,flattering,positive,1,
600,flaws,negative,1,
601,flighty,negative,1,
602,floored,negative,1,
603,fluster,negative,1,
604,flutter,positive,1,
605,fond,positive,1,
606,forlorn,negative,1,
607,fret,negative,1,
608,fumble,negative,1,
609,fury,negative,1,
610,gabble,negative,1,
611,gasp,negative,1,
612,gloomy,negative,1,
613,glorious,positive,1,
614,gnawing,negative,1,
615,graceful,positive,1,
616,grandeur,positive,1,
617,grieve,negative,1,
618,grieving,negative,1,
619,grumble,negative,1,
620,guidance,positive,1,
621,gumption,positive,1,
622,gutter,negative,1,
623,haphazard,negative,1,
624,harden,negative,1,
625,haste,negative,1,
626,hated,negative,1,
627,haughty,negative,1,
628,headway,positive,1,
629,holy,positive,1,
630,hooray,positive,1,
631,hottest,positive,1,
632,humor,positive,1,
633,illustrious,positive,1,
634,imaginary,negative,1,
635,impaired,negative,1,
636,impatient,negative,1,
637,indifferent,negative,1,
638,indignation,negative,1,
639,ingenious,positive,1,
640,insurrection,negative,1,
641,interruptions,negative,1,
642,issue,negative,1,
643,jabber,negative,1,
644,joker,negative,1,
645,jolly,positive,1,
646,keen,positive,1,
647,knotted,negative,1,
648,lame,negative,1,
649,lanky,negative,1,
650,leaky,negative,1,
651,led,positive,1,
652,liars,negative,1,
653,liberty,positive,1,
654,liking,positive,1,
655,lone,negative,1,
656,lonely,negative,1,
657,loses,negative,1,
658,losing,negative,1,
659,luckier,positive,1,
660,lunatic,negative,1,
661,magic,positive,1,
662,mashed,negative,1,
663,meddlesome,negative,1,
664,mercy,positive,1,
665,mesmerizing,positive,1,
666,mire,negative,1,
667,misery,negative,1,
668,misfortune,negative,1,
669,mist,negative,1,
670,misunderstood,negative,1,
671,mocking,negative,1,
672,modern,positive,1,
673,morality,positive,1,
674,murderer,negative,1,
675,mystery,negative,1,
676,needy,negative,1,
677,noises,negative,1,
678,nonsense,negative,1,
679,ominous,negative,1,
680,oppression,negative,1,
681,outrage,negative,1,
682,overdone,negative,1,
683,painful,negative,1,
