,word,sentiment,n,
430,sorrowful,negative,1,
431,spoiled,negative,1,
432,starve,negative,1,
433,steal,negative,1,
434,steep,negative,1,
435,sting,negative,1,
436,stormy,negative,1,
437,strain,negative,1,
438,straining,negative,1,
439,stranger,negative,1,
440,striking,positive,1,
441,strong,positive,1,
442,stronger,positive,1,
443,strongest,positive,1,
444,struggling,negative,1,
445,stump,negative,1,
446,stunned,positive,1,
447,suitable,positive,1,
448,superstitious,negative,1,
449,suspicions,negative,1,
450,suspicious,negative,1,
451,taint,negative,1,
452,taxing,negative,1,
453,tetchy,negative,1,
454,timid,negative,1,
455,tiresome,negative,1,
456,tolerable,positive,1,
457,trap,negative,1,
458,trick,negative,1,
459,troubled,negative,1,
460,troublesome,negative,1,
461,tumbled,negative,1,
462,unnatural,negative,1,
463,violent,negative,1,
464,wail,negative,1,
465,warped,negative,1,
466,wasted,negative,1,
467,whine,negative,1,
468,win,positive,1,
469,wise,positive,1,
470,witty,positive,1,
471,worrying,negative,1,
472,worthy,positive,1,
473,wreck,negative,1,
474,wretched,negative,1,
